arm,kind,rho,local_kind,metric,quantile_weight,minimum_gradient_agreement,minimum_ascent_cosine,minimum_signal_to_null,maximum_correction_ratio,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,safety_robust_ascent_fraction,safety_intervention_fraction,safety_cap_rejected_fraction,safety_local_rejected_fraction,median_correction_metric_norm,p90_correction_metric_norm,median_correction_ratio,p90_correction_ratio,median_gradient_cosine,median_proposal_cosine,median_safety_ascent_cosine,median_safety_signal_to_null,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.04138932054901234,0.41366717577302425,0.5096820588324515,0.9750000000000001,0.22281250000000005,0.07023437499999999,0.05062113455508532,0.4657905979662324,0.5707760645517858,0.9750000000000001,0.2657812500000001,0.07999999999999999,0.0851601540121707,0.6108184831446933,0.716039601015775,0.7350000000000002,0.445,0.10539062499999999,-0.034539019457085374,-0.14502788517846094,-0.043770833463158354,-0.19715130737166908,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838619783976702,nan,-0.6165154096719508,1.2762887607339912,-0.003130220945638324,-0.00024193437256172753,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.43053990000043996
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.04138932054901234,0.41366717577302425,0.5096820588324515,0.9750000000000001,0.22281250000000005,0.07023437499999999,0.05062113455508532,0.4657905979662324,0.5707760645517858,0.9750000000000001,0.2657812500000001,0.07999999999999999,0.0851601540121707,0.6108184831446933,0.716039601015775,0.7350000000000002,0.445,0.10539062499999999,-0.034539019457085374,-0.14502788517846094,-0.043770833463158354,-0.19715130737166908,47,0,52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838619783976702,nan,-0.6165154096719508,1.2762887607339912,-0.003130220945638324,-0.00024193437256172753,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.542874100006884
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.15314018142850516,0.6896876893232883,1.0125256826059017,0.79,0.49015625,0.128046875,0.16294130565773557,0.7229224951039046,1.0323849680288437,0.79,0.501875,0.12414062499999999,0.3406124482148041,1.1129012518258758,1.343533529907335,0.79,0.689375,0.16820312499999998,-0.1776711425570685,-0.38997875672197124,-0.1874722667862989,-0.42321356250258757,60,1,57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.23727870002039708
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.15314018142850516,0.6896876893232883,1.0125256826059017,0.79,0.49015625,0.128046875,0.16294130565773557,0.7229224951039046,1.0323849680288437,0.79,0.501875,0.12414062499999999,0.3406124482148041,1.1129012518258758,1.343533529907335,0.79,0.689375,0.16820312499999998,-0.1776711425570685,-0.38997875672197124,-0.1874722667862989,-0.42321356250258757,60,1,57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937944233589276,nan,-0.7225941823048277,2.1130624492122174,-0.013633762856867295,-0.0016804634620798625,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.33100330000161193
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.15314018142850516,0.6896876893232883,1.0125256826059017,0.79,0.49015625,0.128046875,0.16294130565773557,0.7229224951039046,1.0323849680288437,0.79,0.501875,0.12414062499999999,0.3406124482148041,1.1129012518258758,1.343533529907335,0.79,0.689375,0.16820312499999998,-0.1776711425570685,-0.38997875672197124,-0.1874722667862989,-0.42321356250258757,60,1,57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937944233589276,nan,-0.7225941823048277,2.1130624492122174,-0.013633762856867295,-0.0016804634620798625,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.4260109000024386
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.15314018142850516,0.6896876893232883,1.0125256826059017,0.79,0.49015625,0.128046875,0.16294130565773557,0.7229224951039046,1.0323849680288437,0.79,0.501875,0.12414062499999999,0.3406124482148041,1.1129012518258758,1.343533529907335,0.79,0.689375,0.16820312499999998,-0.1776711425570685,-0.38997875672197124,-0.1874722667862989,-0.42321356250258757,60,1,57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937944233589276,nan,-0.7225941823048277,2.1130624492122174,-0.013633762856867295,-0.0016804634620798625,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.5265562999993563
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04984562317736563,0.37655328108979563,0.44571281186237544,1.0,0.3117897727272727,0.05166903409090909,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.0,0.0,0.015264805031928397,0.07527963588594722,52,0,42,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,concentrated,QGD-D03-equal-K11/concentrated,0,1,2.1875,10,179.2304245744904,0.22515929999644868
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04984562317736563,0.37655328108979563,0.44571281186237544,1.0,0.3117897727272727,0.05166903409090909,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.0,0.0,0.015264805031928397,0.07527963588594722,52,0,42,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4926563482999825,nan,0.15870619255121488,1.0913768729742785,0.0016404494324626555,6.302651217370413e-06,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,concentrated,QGD-D03-equal-K11/concentrated,0,1,2.1875,10,179.2304245744904,0.3106043000007048
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.04984562317736563,0.37655328108979563,0.44571281186237544,1.0,0.3117897727272727,0.05166903409090909,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.0,0.0,0.015264805031928397,0.07527963588594722,52,0,42,0,0.0,0.0,0.0,0.0,0,0.2777777777777778,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.4926563482999825,nan,0.15870619255121488,1.0913768729742785,0.0016404494324626555,6.302651217370413e-06,"{""cap-rejected"": 5, ""inactive"": 13}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,concentrated,QGD-D03-equal-K11/concentrated,0,1,2.1875,10,179.2304245744904,0.40044560001115315
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.04984562317736563,0.37655328108979563,0.44571281186237544,1.0,0.3117897727272727,0.05166903409090909,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.03458081814543723,0.3012736452038484,0.3584146535336067,0.8181818181818182,0.5678267045454546,0.1376065340909091,0.0,0.0,0.015264805031928397,0.07527963588594722,52,0,42,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4926563482999825,nan,0.15870619255121488,1.0913768729742785,0.0016404494324626555,6.302651217370413e-06,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,concentrated,QGD-D03-equal-K11/concentrated,0,1,2.1875,10,179.2304245744904,0.49656749999849126
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.9312907283862928,2.0136593806686363,2.094228204129422,0.6363636363636365,0.8117897727272728,0.2450284090909091,-0.3741471449371261,-0.5346721945040285,-0.3741471449371261,-0.5346721945040285,60,1,60,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,missing,QGD-D03-equal-K11/missing,0,1,2.5,10,156.40848972144698,0.24935349999577738
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.9312907283862928,2.0136593806686363,2.094228204129422,0.6363636363636365,0.8117897727272728,0.2450284090909091,-0.3741471449371261,-0.5346721945040285,-0.3741471449371261,-0.5346721945040285,60,1,60,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6524645997823948,nan,-0.8160595952097875,3.1857363828487006,-0.04959629459729844,-0.0030927954778382184,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,missing,QGD-D03-equal-K11/missing,0,1,2.5,10,156.40848972144698,0.34545860000071116
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.9312907283862928,2.0136593806686363,2.094228204129422,0.6363636363636365,0.8117897727272728,0.2450284090909091,-0.3741471449371261,-0.5346721945040285,-0.3741471449371261,-0.5346721945040285,60,1,60,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6524645997823948,nan,-0.8160595952097875,3.1857363828487006,-0.04959629459729844,-0.0030927954778382184,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,missing,QGD-D03-equal-K11/missing,0,1,2.5,10,156.40848972144698,0.44139809999614954
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.5571435834491667,1.4789871861646078,1.5860750842468003,0.7272727272727273,0.6434659090909092,0.1434659090909091,0.9312907283862928,2.0136593806686363,2.094228204129422,0.6363636363636365,0.8117897727272728,0.2450284090909091,-0.3741471449371261,-0.5346721945040285,-0.3741471449371261,-0.5346721945040285,60,1,60,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6524645997823948,nan,-0.8160595952097875,3.1857363828487006,-0.04959629459729844,-0.0030927954778382184,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,16.0,5632.0,5632.0,3.0,1536.0,1536.0,142200.0,QGD-D03-equal-K11,equal-high-mode-count,missing,QGD-D03-equal-K11/missing,0,1,2.5,10,156.40848972144698,0.5311128000030294
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.0559306399612538,0.2896789349085986,0.3375229093484402,0.875,0.50390625,0.138671875,0.07694033611138051,0.33878076935148255,0.3853238847949467,0.9375,0.51953125,0.140625,0.09141659561884241,0.3771429270832197,0.42646862069938546,0.9375,0.578125,0.15625,-0.014476259507461897,-0.03836215773173718,-0.03548595565758861,-0.08746399217462114,42,0,47,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,14.0,4608.0,4608.0,3.0,1536.0,1536.0,142200.0,QGD-D04-hetero-K8,heteroscedastic,concentrated,QGD-D04-hetero-K8/concentrated,0,1,1.9375,6,153.0093283372553,0.2305931999871973
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.0559306399612538,0.2896789349085986,0.3375229093484402,0.875,0.50390625,0.138671875,0.07694033611138051,0.33878076935148255,0.3853238847949467,0.9375,0.51953125,0.140625,0.09141659561884241,0.3771429270832197,0.42646862069938546,0.9375,0.578125,0.15625,-0.014476259507461897,-0.03836215773173718,-0.03548595565758861,-0.08746399217462114,42,0,47,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2630284306920446,nan,-0.660498795390479,1.0306791943255385,-0.003393350120279715,-0.0003882240757708633,"{""inactive"": 18}",60.0,2724.0,87168.0,44160.0,36864.0,877440.0,44736.0,1024,14.0,4608.0,4608.0,3.0,1536.0,1536.0,142200.0,QGD-D04-hetero-K8,heteroscedastic,concentrated,QGD-D04-hetero-K8/concentrated,0,1,1.9375,6,153.0093283372553,0.31950029998552054
